"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 09","14,857.71","14,744.13","14,894.32","14,716.71","959.65M","0.09%"
"2024- 01- 08","14,843.77","14,564.47","14,846.90","14,560.20","1.14B","2.20%"
"2024- 01- 05","14,524.07","14,500.11","14,625.19","14,477.57","1.01B","0.09%"
"2024- 01- 04","14,510.30","14,532.23","14,632.77","14,504.78","1.04B","-0.56%"
"2024- 01- 03","14,592.21","14,641.47","14,694.58","14,577.44","1.06B","-1.18%"
"2024- 01- 02","14,765.94","14,873.70","14,887.80","14,682.38","1.08B","-1.63%"
"2023- 12- 29","15,011.35","15,099.20","15,111.41","14,955.37","1.04B","-0.56%"
"2023- 12- 28","15,095.14","15,142.09","15,150.07","15,087.22","907.14M","-0.03%"
"2023- 12- 27","15,099.18","15,089.66","15,114.08","15,051.67","1.07B","0.16%"
"2023- 12- 26","15,074.57","15,028.69","15,101.18","15,024.06","871.34M","0.54%"
"2023- 12- 22","14,992.97","15,006.18","15,047.19","14,927.12","880.44M","0.19%"
"2023- 12- 21","14,963.87","14,923.14","14,970.81","14,837.47","945.08M","1.26%"
"2023- 12- 20","14,777.94","14,973.36","15,069.29","14,776.29","1.20B","-1.50%"
"2023- 12- 19","15,003.22","14,923.02","15,003.80","14,921.60","1.13B","0.66%"
"2023- 12- 18","14,905.19","14,814.02","14,938.04","14,811.82","1.15B","0.62%"
"2023- 12- 15","14,813.92","14,797.46","14,848.41","14,753.16","3.35B","0.35%"
"2023- 12- 14","14,761.56","14,798.72","14,855.62","14,642.23","1.58B","0.19%"
"2023- 12- 13","14,733.96","14,555.68","14,743.55","14,517.53","1.13B","1.38%"
"2023- 12- 12","14,533.40","14,423.01","14,533.40","14,385.39","939.56M","0.70%"
"2023- 12- 11","14,432.49","14,340.13","14,436.08","14,324.57","1.05B","0.20%"
"2023- 12- 08","14,403.97","14,279.46","14,416.92","14,264.96","997.65M","0.45%"
"2023- 12- 07","14,339.99","14,230.43","14,353.11","14,220.87","1.05B","1.37%"
"2023- 12- 06","14,146.71","14,325.62","14,327.63","14,138.51","1.02B","-0.58%"
"2023- 12- 05","14,229.91","14,126.40","14,285.66","14,121.76","1.11B","0.31%"
"2023- 12- 04","14,185.49","14,168.66","14,197.52","14,058.52","1.18B","-0.84%"
"2023- 12- 01","14,305.03","14,181.35","14,311.95","14,135.00","1.09B","0.55%"
"2023- 11- 30","14,226.22","14,265.05","14,289.20","14,127.05","1.53B","-0.23%"
