market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2024-08-26 00:00:00+00:00,2024-08-26 09:00:00,86227000.0,86529000.0,84408000.0,84408000.0,1724716799895,192748229997.8137,2260.53739932,86254000.0,-1846000.0,-0.021401906
KRW-BTC,2024-08-27 00:00:00+00:00,2024-08-27 09:00:00,84408000.0,84794000.0,80121000.0,80950000.0,1724803199864,335829079690.97577,4066.7490567,84408000.0,-3458000.0,-0.0409676808
KRW-BTC,2024-08-28 00:00:00+00:00,2024-08-28 09:00:00,80947000.0,81895000.0,79550000.0,80569000.0,1724889599934,310686076764.39667,3848.30364196,80950000.0,-381000.0,-0.004706609
KRW-BTC,2024-08-29 00:00:00+00:00,2024-08-29 09:00:00,80618000.0,82700000.0,80151000.0,80790000.0,1724975998134,206219103448.4138,2539.08247784,80569000.0,221000.0,0.0027429905
KRW-BTC,2024-08-30 00:00:00+00:00,2024-08-30 09:00:00,80745000.0,81250000.0,79225000.0,80439000.0,1725062399786,229386098042.93787,2858.21980495,80790000.0,-351000.0,-0.0043445971
KRW-BTC,2024-08-31 00:00:00+00:00,2024-08-31 09:00:00,80439000.0,80823000.0,80009000.0,80262000.0,1725148796306,67710249599.81931,841.99580262,80439000.0,-177000.0,-0.0022004252
KRW-BTC,2024-09-01 00:00:00+00:00,2024-09-01 09:00:00,80300000.0,80370000.0,78300000.0,78301000.0,1725235199527,201464348305.40323,2541.94042215,80262000.0,-1961000.0,-0.0244324836
KRW-BTC,2024-09-02 00:00:00+00:00,2024-09-02 09:00:00,78303000.0,80610000.0,78235000.0,80205000.0,1725321595971,174932522315.02856,2207.5986061,78301000.0,1904000.0,0.02431642
KRW-BTC,2024-09-03 00:00:00+00:00,2024-09-03 09:00:00,80247000.0,81101000.0,78250000.0,78272000.0,1725407999341,203978935020.43103,2562.51172354,80205000.0,-1933000.0,-0.0241007418
KRW-BTC,2024-09-04 00:00:00+00:00,2024-09-04 09:00:00,78270000.0,79300000.0,76248000.0,78739000.0,1725494399977,301711447734.27747,3895.41394663,78272000.0,467000.0,0.0059663737
KRW-BTC,2024-09-05 00:00:00+00:00,2024-09-05 09:00:00,78739000.0,79131000.0,76000000.0,76330000.0,1725580799653,227922886561.5563,2957.70339093,78739000.0,-2409000.0,-0.0305947497
KRW-BTC,2024-09-06 00:00:00+00:00,2024-09-06 09:00:00,76330000.0,76860000.0,72200000.0,73644000.0,1725667197758,453955119507.9664,6081.77185166,76330000.0,-2686000.0,-0.0351893096
KRW-BTC,2024-09-07 00:00:00+00:00,2024-09-07 09:00:00,73644000.0,74580000.0,73078000.0,73640000.0,1725753599801,132925505237.01608,1801.62027481,73644000.0,-4000.0,-5.43154e-05
KRW-BTC,2024-09-08 00:00:00+00:00,2024-09-08 09:00:00,73640000.0,74880000.0,72992000.0,74437000.0,1725839999936,117599921455.3581,1592.04001829,73640000.0,797000.0,0.0108229223
KRW-BTC,2024-09-09 00:00:00+00:00,2024-09-09 09:00:00,74439000.0,78500000.0,74093000.0,77275000.0,1725926399715,235311917797.4669,3101.05486477,74437000.0,2838000.0,0.0381262007
KRW-BTC,2024-09-10 00:00:00+00:00,2024-09-10 09:00:00,77274000.0,78485000.0,76432000.0,78089000.0,1726012799904,169362601828.1939,2189.56080713,77275000.0,814000.0,0.0105338078
KRW-BTC,2024-09-11 00:00:00+00:00,2024-09-11 09:00:00,78091000.0,78200000.0,75380000.0,77301000.0,1726099199578,234573394617.97586,3055.31403806,78089000.0,-788000.0,-0.01009105
KRW-BTC,2024-09-12 00:00:00+00:00,2024-09-12 09:00:00,77363000.0,78830000.0,77300000.0,78269000.0,1726185597905,196214298456.70428,2510.01259415,77301000.0,968000.0,0.0125224771
KRW-BTC,2024-09-13 00:00:00+00:00,2024-09-13 09:00:00,78269000.0,81100000.0,77700000.0,80930000.0,1726271999013,225703375433.60367,2847.08604999,78269000.0,2661000.0,0.0339981346
KRW-BTC,2024-09-14 00:00:00+00:00,2024-09-14 09:00:00,80930000.0,81174000.0,80040000.0,80524000.0,1726358392716,106802968052.03972,1324.44479737,80930000.0,-406000.0,-0.0050166811
KRW-BTC,2024-09-15 00:00:00+00:00,2024-09-15 09:00:00,80524000.0,81009000.0,79090000.0,79690000.0,1726444799307,103959710509.01263,1293.20254846,80524000.0,-834000.0,-0.0103571606
KRW-BTC,2024-09-16 00:00:00+00:00,2024-09-16 09:00:00,79691000.0,79860000.0,77740000.0,78469000.0,1726531199933,190805166243.93906,2425.49996851,79690000.0,-1221000.0,-0.0153218723
KRW-BTC,2024-09-17 00:00:00+00:00,2024-09-17 09:00:00,78468000.0,82364000.0,77774000.0,81116000.0,1726617599884,246315657168.2539,3063.50091322,78469000.0,2647000.0,0.0337330666
KRW-BTC,2024-09-18 00:00:00+00:00,2024-09-18 09:00:00,81116000.0,82618000.0,80008000.0,82604000.0,1726703999962,272656090815.34293,3362.15013751,81116000.0,1488000.0,0.0183440998
KRW-BTC,2024-09-19 00:00:00+00:00,2024-09-19 09:00:00,82602000.0,85000000.0,82286000.0,83892000.0,1726790400001,380397446780.82184,4549.0273458,82604000.0,1288000.0,0.0155924653
KRW-BTC,2024-09-20 00:00:00+00:00,2024-09-20 09:00:00,83891000.0,85478000.0,83377000.0,84385000.0,1726876798614,275217777612.6938,3257.11829911,83892000.0,493000.0,0.0058766033
KRW-BTC,2024-09-21 00:00:00+00:00,2024-09-21 09:00:00,84384000.0,84750000.0,84000000.0,84425000.0,1726963199940,89952936852.66151,1066.57067251,84385000.0,40000.0,0.0004740179
KRW-BTC,2024-09-22 00:00:00+00:00,2024-09-22 09:00:00,84429000.0,85500000.0,83401000.0,84829000.0,1727049599906,157468215075.89536,1869.26119943,84425000.0,404000.0,0.0047853124
KRW-BTC,2024-09-23 00:00:00+00:00,2024-09-23 09:00:00,84838000.0,86250000.0,83832000.0,84631000.0,1727135999474,226181555032.54324,2655.34388664,84829000.0,-198000.0,-0.0023341074
KRW-BTC,2024-09-24 00:00:00+00:00,2024-09-24 09:00:00,84630000.0,85750000.0,84009000.0,85248000.0,1727222397521,169441365824.40887,1998.91561289,84631000.0,617000.0,0.0072904728
KRW-BTC,2024-09-25 00:00:00+00:00,2024-09-25 09:00:00,85248000.0,85950000.0,84220000.0,84362000.0,1727308799981,154899364722.59076,1821.46293118,85248000.0,-886000.0,-0.0103932057
KRW-BTC,2024-09-26 00:00:00+00:00,2024-09-26 09:00:00,84362000.0,86602000.0,83800000.0,86000000.0,1727395198384,244700921914.2255,2865.16236011,84362000.0,1638000.0,0.0194163249
KRW-BTC,2024-09-27 00:00:00+00:00,2024-09-27 09:00:00,85948000.0,87410000.0,85877000.0,86958000.0,1727481600019,213547052709.95197,2462.85215474,86000000.0,958000.0,0.0111395349
